"","Sample","Community","Filter_pores","Filter_size","Filter_type","Station","Date","Latitude","Longitude","Salinity","Temperature","watertype","CTD_Depth","DOC","Iron","Iron_Level","Lab_NO3","Lab_PO4","Lab_NO2","Lab_NH4","Oxygen"
"217","STN12.3.300.fil.poly.S.r1","Free-living","0.2","142","polycarbonate","STN12.3","2/17/22","-73.80074","-112.66724","34.16","-1.13","WW-CDW","300.1",46,NA,NA,"35.33","2.58","0.03","0.29","5.85"
"218","STN12.3.165.pre.poly.3.S","Particle-associated","3","142","polycarbonate","STN12.3","2/17/22","-73.80082","-112.66734","34.01","-1.45","WW","164.92",39.7,NA,NA,"34.08","2.52","0.07","0.67","6.19"
"219","STN12.3.165.fil.poly.S.r1","Free-living","0.2","142","polycarbonate","STN12.3","2/17/22","-73.80082","-112.66734","34.01","-1.44","WW","164.9",39.7,NA,NA,"34.08","2.52","0.07","0.67","6.2"
"220","STN12.3.15.pre.poly.3.S","Particle-associated","3","142","polycarbonate","STN12.3","2/17/22","-73.80034","-112.66694","33.77","-0.86","AASW","14.81",51.2,NA,NA,"17.73","1.6","0.07","0.73","8.71"
"221","STN12.3.15.fil.poly.S.r1","Free-living","0.2","142","polycarbonate","STN12.3","2/17/22","-73.8008","-112.6673","33.77","-0.87","AASW","14.83",51.2,NA,NA,"17.73","1.6","0.07","0.73","8.74"
"222","STN151.2.673.pre.poly.3.S","Particle-associated","3","142","polycarbonate","STN151.2","2/19/22","-73.88074","-118.73942","34.51","0.42","CDW","673.33",43.6,0.53,"High","33.47","2.26","0.01","0.26","4.75"
"223","STN151.2.673.fil.poly.S.r1","Free-living","0.2","142","polycarbonate","STN151.2","2/19/22","-73.88074","-118.73941","34.51","0.42","CDW","673.39",43.6,0.53,"High","33.47","2.26","0.01","0.26","4.73"
"224","STN151.2.600.pre.poly.3.S","Particle-associated","3","142","polycarbonate","STN151.2","2/19/22","-73.88072","-118.73942","34.49","0.32","CDW","599.98",NA,NA,NA,"33.53","2.28","0.01","0.16","4.77"
"225","STN151.2.600.fil.poly.S.r1","Free-living","0.2","142","polycarbonate","STN151.2","2/19/22","-73.88072","-118.73942","34.49","0.32","CDW","600.03",NA,NA,NA,"33.53","2.28","0.01","0.16","4.79"
"226","STN151.2.500.pre.poly.3.S","Particle-associated","3","142","polycarbonate","STN151.2","2/19/22","-73.88074","-118.73942","34.31","-0.3","WW-CDW","499.65",42.2,NA,NA,"33.2","2.28","0.01","0.13","5.1"
"227","STN151.2.500.fil.poly.S.r1","Free-living","0.2","142","polycarbonate","STN151.2","2/19/22","-73.88074","-118.73942","34.31","-0.3","WW-CDW","499.74",42.2,NA,NA,"33.2","2.28","0.01","0.13","5.1"
"228","STN174.620.pre.poly.3.S","Particle-associated","3","142","polycarbonate","STN174","2/20/22","-73.73166","-116.85366","34.46","0.13","CDW","620.2",44.7,0.871,"High","33.12","2.29","0.04","0.28","4.85"
"229","STN174.620.fil.poly.S.r1","Free-living","0.2","142","polycarbonate","STN174","2/20/22","-73.73166","-116.85366","34.46","0.13","CDW","620.27",44.7,0.871,"High","33.12","2.29","0.04","0.28","4.84"
"230","STN174.550.pre.poly.3.S","Particle-associated","3","142","polycarbonate","STN174","2/20/22","-73.73226","-116.85366","34.38","-0.24","WW-CDW","549.91",54,0.749,"High","33.26","2.3","0.05","0.16","5.04"
"231","STN174.550.fil.poly.S.r1","Free-living","0.2","142","polycarbonate","STN174","2/20/22","-73.73226","-116.85366","34.38","-0.24","WW-CDW","550.04",54,0.749,"High","33.26","2.3","0.05","0.16","5.04"
"232","STN174.280.pre.poly.3.S","Particle-associated","3","142","polycarbonate","STN174","2/20/22","-73.73258","-116.85276","34.11","-1.77","WW","279.71",NA,0.333,"Low","31.46","2.2","0.17","0.5","6.49"
"233","STN174.280.fil.poly.S.r1","Free-living","0.2","142","polycarbonate","STN174","2/20/22","-73.73258","-116.85276","34.11","-1.77","WW","279.85",NA,0.333,"Low","31.46","2.2","0.17","0.5","6.49"
"234","STN174.3.pre.poly.3.S","Particle-associated","3","142","polycarbonate","STN174","2/20/22","-73.73252","-116.85274","33.71","0.01","AASW","2.91",64.7,0.11,"Low","3.84","0.68","0.07","0.34","8.65"
"235","STN174.3.fil.poly.S.r1","Free-living","0.2","142","polycarbonate","STN174","2/20/22","-73.73252","-116.85274","33.71","0.01","AASW","2.89",64.7,0.11,"Low","3.84","0.68","0.07","0.34","8.65"
"236","STN181.757.pre.poly.3.S","Particle-associated","3","142","polycarbonate","STN181","2/21/22","-73.42308","-114.21052","34.57","0.57","CDW","757.39",NA,NA,NA,"33.6","2.31","0.04","0.31","4.53"
"237","STN181.757.fil.poly.S.r1","Free-living","0.2","142","polycarbonate","STN181","2/21/22","-73.42308","-114.21052","34.57","0.57","CDW","757.39",NA,NA,NA,"33.6","2.31","0.04","0.31","4.53"
"238","STN181.340.pre.poly.3.S","Particle-associated","3","142","polycarbonate","STN181","2/21/22","-73.42308","-114.21052","34.11","-1.69","WW","340.18",NA,NA,NA,"31.78","2.18","0.16","0.51","6.49"
"239","STN181.340.fil.poly.S.r1","Free-living","0.2","142","polycarbonate","STN181","2/21/22","-73.42308","-114.21052","34.11","-1.69","WW","340.22",NA,NA,NA,"31.78","2.18","0.16","0.51","6.53"
"240","STN181.2.pre.poly.3.S","Particle-associated","3","142","polycarbonate","STN181","2/21/22","-73.42308","-114.21054","33.75","-1.26","AASW-WW","2.38",NA,NA,NA,"18.89","1.51","0.08","0.36","8.73"
"241","STN181.2.fil.poly.S.r1","Free-living","0.2","142","polycarbonate","STN181","2/21/22","-73.42308","-114.21054","33.75","-1.27","AASW-WW","2.35",NA,NA,NA,"18.89","1.51","0.08","0.36","8.72"
"242","STN198.20.pre.poly.3.S","Particle-associated","3","142","polycarbonate","STN198","2/25/22","-71.99998","-119.39896","33.29","-1.11","AASW","19.97",58.2,0.163,"Low","13.57","1.19","0.09","2.07","8.36"
"243","STN198.1487.pre.poly.3.S","Particle-associated","3","142","polycarbonate","STN198","2/25/22","-71.99998","-119.39897","34.71","0.58","CDW","1486.56",43.7,0.576,"High","33.57","2.27","0.02","0.19","4.69"
"244","STN198.1487.fil.poly.LG.r2","Free-living","0.2","293","polycarbonate","STN198","2/25/22","-71.99998","-119.39897","34.71","0.57","CDW","1486.48",43.7,0.576,"High","33.57","2.27","0.02","0.19","4.69"
"245","STN198.750.fil.poly.LG.r1","Free-living","0.2","293","polycarbonate","STN198","2/25/22","-71.99998","-119.39897","34.72","1.19","CDW","750.45",NA,0.357,"Low","33.24","2.21","0.01","0.12","4.45"
"246","STN198.376.pre.poly.3.S","Particle-associated","3","142","polycarbonate","STN198","2/25/22","-71.99998","-119.39898","34.71","1.65","CDW","375.51",44,0.441,"Low","33.49","2.26","0.02","0.16","4.17"
"247","STN198.376.fil.poly.S.r2","Free-living","0.2","142","polycarbonate","STN198","2/25/22","-71.99998","-119.39897","34.71","1.65","CDW","375.54",44,0.441,"Low","33.49","2.26","0.02","0.16","4.17"
"248","STN198.300.pre.poly.3.S","Particle-associated","3","142","polycarbonate","STN198","2/25/22","-71.99998","-119.39898","34.56","0.88","CDW","300.18",NA,0.311,"Low","33.9","2.3","0.05","0.15","4.5"
"249","STN198.300.fil.poly.S.r1","Free-living","0.2","142","polycarbonate","STN198","2/25/22","-71.99998","-119.39898","34.55","0.9","CDW","300.09",NA,0.311,"Low","33.9","2.3","0.05","0.15","4.5"
"250","STN198.150.pre.poly.3.LG","Particle-associated","3","293","polycarbonate","STN198","2/25/22","-71.99997","-119.39898","34.12","-1.69","WW","149.86",NA,0.246,"Low","31.63","2.17","0.07","0.3","6.42"
"251","STN198.150.fil.poly.LG.r1","Free-living","0.2","293","polycarbonate","STN198","2/25/22","-71.99997","-119.39898","34.12","-1.69","WW","149.86",NA,0.246,"Low","31.63","2.17","0.07","0.3","6.43"
