Latitude,Longitude,Salinity,Temperature,CTD_Depth,Lab_NO3,Lab_PO4,Lab_NO2,Lab_NH4,Sb_Oxygen,DOC,Iron,sample_name,Depth,Station,Depth_Threshold,More_Depth_Threshold,watertype,Flow_of_CDW,Location,Sample.Control,Iron_Level,Replicate_Number,Pos_in_polynya,Siderophore,True_Flow,Coastal_Current_Name,Coastal_Current_Number,Transect_Name,Transect_Number,Notes,is.neg
-73.14,-113.95,33.88,-0.42,29.78,16.96,1.42,0.07,0.65,8.64,52.9,NA,STN004.30.fil.dura.r2,30,STN004,Surface,Surface,WW-CDW,Open_polynya,Open_polynya,True.Sample,NA,2,Open_polynya_surf,NA,NA,NA,NA,NA,NA,NA,FALSE
Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,KITBL.r7,Blank,Blank,Blank,Blank,NA,Blank,Blank,Control.Sample,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,Blank,TRUE
-73.8,-112.67,34.57,0.57,729.55,34.11,2.3,0.02,0.13,4.55,40.2,1.173,STN012.730.pre.poly.3.LG,730,STN012,Bottom_water,Bottom,CDW,Open_polynya,Open_polynya,True.Sample,High,NA,NA,NA,NA,NA,NA,transect1,4,NA,FALSE
-73.8,-112.67,34.57,0.57,729.65,34.11,2.3,0.02,0.13,4.55,40.2,1.173,STN012.730.fil.dura.r1,730,STN012,Bottom_water,Bottom,CDW,Open_polynya,Open_polynya,True.Sample,High,1,NA,NA,NA,NA,NA,transect1,4,NA,FALSE
-73.8,-112.67,34.57,0.57,729.65,34.11,2.3,0.02,0.13,4.55,40.2,1.173,STN012.730.fil.dura.r2,730,STN012,Bottom_water,Bottom,CDW,Open_polynya,Open_polynya,True.Sample,High,2,NA,NA,NA,NA,NA,transect1,4,NA,FALSE
-73.8,-112.67,34.12,-1.79,300.35,31.93,2.17,0.07,0.11,6.68,42,0.37,STN012.300.pre.poly.3.LG,300,STN012,Intermediate,Mid,WW,Open_polynya,Open_polynya,True.Sample,Low,NA,NA,108.5,NA,NA,NA,NA,NA,NA,FALSE
-73.8,-112.67,34.11,-1.79,300.12,31.93,2.17,0.07,0.11,6.69,42,0.37,STN012.300.fil.dura.r1,300,STN012,Intermediate,Mid,WW,Open_polynya,Open_polynya,True.Sample,Low,1,NA,108.5,NA,NA,NA,NA,NA,NA,FALSE
-73.8,-112.67,34.11,-1.79,300.12,31.93,2.17,0.07,0.11,6.69,42,0.37,STN012.300.fil.dura.r2,300,STN012,Intermediate,Mid,WW,Open_polynya,Open_polynya,True.Sample,Low,2,NA,108.5,NA,NA,NA,NA,NA,NA,FALSE
-73.8,-112.67,33.81,-0.6,29.75,18.3,1.5,0.07,0.43,8.62,48.3,0.107,STN012.30.pre.poly.3.LG,30,STN012,Surface,Surface,AASW,Open_polynya,Open_polynya,True.Sample,Low,NA,Open_polynya_surf,98.9,NA,NA,NA,NA,NA,37 um pre-filter to Becky,FALSE
-73.8,-112.67,33.81,-0.64,29.67,18.3,1.5,0.07,0.43,8.76,48.3,0.107,STN012.30.fil.dura.r1,30,STN012,Surface,Surface,AASW,Open_polynya,Open_polynya,True.Sample,Low,1,Open_polynya_surf,98.9,NA,NA,NA,NA,NA,added 2L of seived surface water to above,FALSE
-73.8,-112.67,33.81,-0.64,29.67,18.3,1.5,0.07,0.43,8.76,48.3,0.107,STN012.30.fil.dura.r2,30,STN012,Surface,Surface,AASW,Open_polynya,Open_polynya,True.Sample,Low,2,Open_polynya_surf,98.9,NA,NA,NA,NA,NA,NA,FALSE
Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,KITBL.r11,Blank,Blank,Blank,Blank,NA,Blank,Blank,Control.Sample,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,Blank,TRUE
PosCtrl,PosCtrl,PosCtrl,PosCtrl,PosCtrl,PosCtrl,PosCtrl,PosCtrl,PosCtrl,PosCtrl,NA,NA,PCR.pos.r1,PosCtrl,PosCtrl,PosCtrl,PosCtrl,NA,PosCtrl,PosCtrl,Control.Sample,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,Blank,TRUE
NegCtrl,NegCtrl,NegCtrl,NegCtrl,NegCtrl,NegCtrl,NegCtrl,NegCtrl,NegCtrl,NegCtrl,NA,NA,PCR.neg.r1,NegCtrl,NegCtrl,NegCtrl,NegCtrl,NA,NegCtrl,NegCtrl,Control.Sample,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,Blank,TRUE
-74.23,-112.08,34.53,0.43,860.2,34.86,2.39,0.06,0.15,4.61,43.8,0.826,STN014.860.pre.poly.3.LG,860,STN014,Bottom_water,Bottom,CDW,Inflow,Dotson,True.Sample,High,NA,Inflow,NA,Inflow,NA,NA,transect1,5,NA,FALSE
-74.23,-112.08,34.53,0.43,860.23,34.86,2.39,0.06,0.15,4.61,43.8,0.826,STN014.860.fil.dura.r1,860,STN014,Bottom_water,Bottom,CDW,Inflow,Dotson,True.Sample,High,1,Inflow,NA,Inflow,NA,NA,transect1,5,NA,FALSE
-74.23,-112.08,34.53,0.43,860.23,34.86,2.39,0.06,0.15,4.61,43.8,0.826,STN014.860.fil.dura.r2,860,STN014,Bottom_water,Bottom,CDW,Inflow,Dotson,True.Sample,High,2,Inflow,NA,Inflow,NA,NA,transect1,5,NA,FALSE
-74.23,-112.08,34.52,0.42,699.96,34.09,2.37,0.06,0.14,4.63,49.6,0.914,STN014.700.pre.poly.3.LG,700,STN014,Bottom_water,Bottom,CDW,Inflow,Dotson,True.Sample,High,NA,Inflow,NA,Inflow,NA,NA,transect1,5,Inflow?,FALSE
-74.23,-112.08,34.52,0.42,700.01,34.09,2.37,0.06,0.14,4.64,49.6,0.914,STN014.700.fil.dura.r1,700,STN014,Bottom_water,Bottom,CDW,Inflow,Dotson,True.Sample,High,1,Inflow,NA,Inflow,NA,NA,transect1,5,Inflow?,FALSE
-74.23,-112.08,34.52,0.42,700.01,34.09,2.37,0.06,0.14,4.64,49.6,0.914,STN014.700.fil.dura.r2,700,STN014,Bottom_water,Bottom,CDW,Inflow,Dotson,True.Sample,High,2,Inflow,NA,Inflow,NA,NA,transect1,5,NA,FALSE
-74.23,-112.08,34.4,0.14,580.21,33.73,2.29,0,0.09,4.7,48.3,0.53,STN014.580.pre.poly.3.LG,580,STN014,Intermediate,Mid-Bottom,CDW,Inflow,Dotson,True.Sample,High,NA,Inflow,NA,Inflow,NA,NA,transect1,5,Inflow?,FALSE
-74.23,-112.08,34.4,0.14,580.24,33.73,2.29,0,0.09,4.7,48.3,0.53,STN014.580.fil.dura.r1,580,STN014,Intermediate,Mid-Bottom,CDW,Inflow,Dotson,True.Sample,High,1,Inflow,NA,Inflow,NA,NA,transect1,5,Inflow?,FALSE
-74.23,-112.08,34.4,0.14,580.24,33.73,2.29,0,0.09,4.7,48.3,0.53,STN014.580.fil.dura.r2,580,STN014,Intermediate,Mid-Bottom,CDW,Inflow,Dotson,True.Sample,High,2,Inflow,NA,Inflow,NA,NA,transect1,5,NA,FALSE
-74.23,-112.08,34.37,0.04,460.23,33.67,2.27,0,0.03,4.74,49.2,0.574,STN014.460.pre.poly.3.LG,460,STN014,Intermediate,Mid,WW-CDW,Inflow,Dotson,True.Sample,High,NA,NA,NA,NA,NA,NA,NA,NA,Inflow?,FALSE
-74.23,-112.08,34.37,0.04,460.24,33.67,2.27,0,0.03,4.74,49.2,0.574,STN014.460.fil.dura.r1,460,STN014,Intermediate,Mid,WW-CDW,Inflow,Dotson,True.Sample,High,1,NA,NA,NA,NA,NA,NA,NA,Inflow?,FALSE
-74.23,-112.08,34.37,0.04,460.24,33.67,2.27,0,0.03,4.74,49.2,0.574,STN014.460.fil.dura.r2,460,STN014,Intermediate,Mid,WW-CDW,Inflow,Dotson,True.Sample,High,2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
-74.23,-112.08,34.05,-1.42,299.96,31.82,2.18,0.01,0.11,6.18,44.2,0.678,STN014.300.pre.poly.3.LG,300,STN014,Intermediate,Mid-Surface,WW,Inflow,Dotson,True.Sample,High,NA,Dotson_CC,NA,NA,transect3,5,NA,NA,NA,FALSE
-74.23,-112.08,34.05,-1.42,299.96,31.82,2.18,0.01,0.11,6.18,44.2,0.678,STN014.300.fil.dura.r1,300,STN014,Intermediate,Mid-Surface,WW,Inflow,Dotson,True.Sample,High,1,Dotson_CC,NA,NA,transect3,5,NA,NA,NA,FALSE
-74.23,-112.08,34.05,-1.42,299.96,31.82,2.18,0.01,0.11,6.18,44.2,0.678,STN014.300.fil.dura.r2,300,STN014,Intermediate,Mid-Surface,WW,Inflow,Dotson,True.Sample,High,2,Dotson_CC,NA,NA,transect3,5,NA,NA,may have mixed up bottles and combined 200 and 300 m,FALSE
-74.23,-112.08,33.84,-1.13,40.16,26.63,1.87,0.06,0.16,7.52,45.5,0.141,STN014.40.pre.poly.3.LG,40,STN014,Surface,Surface,AASW,Inflow,Dotson,True.Sample,Low,NA,Dotson_CC,NA,NA,transect3,5,NA,NA,NA,FALSE
-74.23,-112.08,33.84,-1.13,40.17,26.63,1.87,0.06,0.16,7.53,45.5,0.141,STN014.40.fil.dura.r1,40,STN014,Surface,Surface,AASW,Inflow,Dotson,True.Sample,Low,1,Dotson_CC,NA,NA,transect3,5,NA,NA,37 um pre-filter to Becky,FALSE
-74.23,-112.08,33.84,-1.13,40.17,26.63,1.87,0.06,0.16,7.53,45.5,0.141,STN014.40.fil.dura.r2,40,STN014,Surface,Surface,AASW,Inflow,Dotson,True.Sample,Low,2,Dotson_CC,NA,NA,transect3,5,NA,NA,37 um pre-filter to Becky,FALSE
Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,,NA,KITBL.r8,Blank,Blank,Blank,Blank,NA,Blank,Blank,Control.Sample,NA,NA,Blank,NA,Blank,NA,NA,NA,NA,Blank,TRUE
-74.15,-111.9,34.44,0.13,499.3,33.69,2.32,0.01,0.08,4.8,39.6,0.513,STN20.499.pre.poly.3.LG,499,STN20,Bottom_water,Bottom,CDW,Inflow,Eastern_CC,True.Sample,High,NA,Inflow,NA,Inflow,NA,NA,NA,NA,NA,FALSE
-74.15,-111.9,34.44,0.13,499.31,33.69,2.32,0.01,0.08,4.8,39.6,0.513,STN20.499.fil.dura.r1,499,STN20,Bottom_water,Bottom,CDW,Inflow,Eastern_CC,True.Sample,High,1,Inflow,NA,Inflow,NA,NA,NA,NA,NA,FALSE
-74.15,-111.9,34.44,0.13,499.31,33.69,2.32,0.01,0.08,4.8,39.6,0.513,STN20.499.fil.dura.r2,480,STN20,Bottom_water,Bottom,CDW,Inflow,Eastern_CC,True.Sample,High,2,Inflow,NA,Inflow,NA,NA,NA,NA,NA,FALSE
-74.15,-111.9,33.99,-1.52,174.86,30.89,2.12,0.06,0.23,6.42,38.6,0.406,STN20.175.pre.poly.3.LG,175,STN20,Intermediate,Mid,WW,Inflow,Eastern_CC,True.Sample,Low,NA,Eastern_CC,NA,NA,transect3,4,NA,NA,NA,FALSE
-74.15,-111.9,33.99,-1.53,174.87,30.89,2.12,0.06,0.23,6.37,38.6,0.406,STN20.175.fil.dura.r1,175,STN20,Intermediate,Mid,WW,Inflow,Eastern_CC,True.Sample,Low,1,Eastern_CC,NA,NA,transect3,4,NA,NA,NA,FALSE
-74.15,-111.9,33.99,-1.53,174.88,30.89,2.12,0.06,0.23,6.39,38.6,0.406,STN20.175.fil.dura.r2,175,STN20,Intermediate,Mid,WW,Inflow,Eastern_CC,True.Sample,Low,2,Eastern_CC,NA,NA,transect3,4,NA,NA,NA,FALSE
-74.15,-111.9,33.81,-1.19,24.93,26.6,1.86,0.04,0.18,7.55,77.6,0.164,STN20.25.pre.poly.3.LG,25,STN20,Surface,Surface,AASW-WW,Inflow,Eastern_CC,True.Sample,Low,NA,Eastern_CC,NA,NA,transect3,4,NA,NA,NA,FALSE
-74.15,-111.9,33.8,-1.18,24.93,26.6,1.86,0.04,0.18,7.57,77.6,0.164,STN20.25.fil.dura.r1,25,STN20,Surface,Surface,AASW-WW,Inflow,Eastern_CC,True.Sample,Low,1,Eastern_CC,NA,NA,transect3,4,NA,NA,did not seal,FALSE
-74.15,-111.9,33.8,-1.18,24.93,26.6,1.86,0.04,0.18,7.57,77.6,0.164,STN20.25.fil.dura.r2,25,STN20,Surface,Surface,AASW-WW,Inflow,Eastern_CC,True.Sample,Low,2,Eastern_CC,NA,NA,transect3,4,NA,NA,NA,FALSE
Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,KITBL.r3,Blank,Blank,Blank,Blank,NA,Blank,Blank,Control.Sample,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,TRUE
-71.99998,-119.39896,33.24,-1.06,19.97,13.57,1.19,0.09,2.07,8.32,58.2,0.163,STN198.20.fil.poly.S,20,STN198,Surface,Surface,AASW,Open_polynya,Cont_Shelf,True.Sample,Low,1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PosCtrl,PosCtrl,PosCtrl,PosCtrl,PosCtrl,PosCtrl,PosCtrl,PosCtrl,PosCtrl,PosCtrl,NA,NA,PCR.pos.r2,PosCtrl,PosCtrl,PosCtrl,PosCtrl,NA,PosCtrl,PosCtrl,Control.Sample,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,TRUE
