Latitude,Longitude,Salinity,Temperature,CTD_Depth,Lab_NO3,Lab_PO4,Lab_NO2,Lab_NH4,Sb_Oxygen,DOC,Iron,sample_name,Depth,Station,Depth_Threshold,More_Depth_Threshold,watertype,Flow_of_CDW,Location,Sample.Control,Iron_Level,Replicate_Number,Pos_in_polynya,Siderophore,True_Flow,Coastal_Current_Name,Coastal_Current_Number,Transect_Name,Transect_Number,Notes,is.neg
-74.18,-113.34,33.96,-1.23,169.9,32.64,2.2,0.02,0.09,5.49,42.4,0.591,STN056a.170.fil.dura.r1,170,STN056a,Intermediate,Mid-Bottom,WW-CDW,Outflow,Dotson,True.Sample,High,1,Outflow,NA,Outflow,transect3,7,transect2,1,NA,FALSE
-74.18,-113.34,33.96,-1.23,169.95,32.64,2.2,0.02,0.09,5.46,42.4,0.591,STN056a.170.fil.dura.r2,170,STN056a,Intermediate,Mid-Bottom,WW-CDW,Outflow,Dotson,True.Sample,High,2,Outflow,NA,Outflow,transect3,7,transect2,1,NA,FALSE
-74.18,-113.34,33.93,-1.27,149.87,32.56,2.18,0.02,0.15,5.42,44.5,0.748,STN056a.150.pre.poly.3.LG,150,STN056a,Intermediate,Mid,WW-CDW,Outflow,Dotson,True.Sample,High,NA,Outflow,NA,Outflow,transect3,7,NA,NA,NA,FALSE
-74.18,-113.34,33.93,-1.26,149.86,32.56,2.18,0.02,0.15,5.39,44.5,0.748,STN056a.150.fil.dura.r1,150,STN056a,Intermediate,Mid,WW-CDW,Outflow,Dotson,True.Sample,High,1,Outflow,NA,Outflow,transect3,7,NA,NA,NA,FALSE
-74.18,-113.34,33.93,-1.26,149.86,32.56,2.18,0.02,0.15,5.39,44.5,0.748,STN056a.150.fil.dura.r2,150,STN056a,Intermediate,Mid,WW-CDW,Outflow,Dotson,True.Sample,High,2,Outflow,NA,Outflow,transect3,7,NA,NA,NA,FALSE
-74.18,-113.34,33.88,-1.37,99.81,32.6,2.19,0.02,0.15,5.41,50.2,NA,STN056a.100.pre.poly.3.LG,100,STN056a,Intermediate,Mid-Surface,WW-CDW,Outflow,Dotson,True.Sample,NA,NA,Dotson_CC,NA,NA,transect3,7,NA,NA,NA,FALSE
-74.18,-113.34,33.88,-1.38,99.86,32.6,2.19,0.02,0.15,5.44,50.2,NA,STN056a.100.fil.dura.r1,100,STN056a,Intermediate,Mid-Surface,WW-CDW,Outflow,Dotson,True.Sample,NA,1,Dotson_CC,NA,NA,transect3,7,NA,NA,NA,FALSE
-74.18,-113.34,33.88,-1.38,99.86,32.6,2.19,0.02,0.15,5.44,50.2,NA,STN056a.100.fil.dura.r2,100,STN056a,Intermediate,Mid-Surface,WW-CDW,Outflow,Dotson,True.Sample,NA,2,Dotson_CC,NA,NA,transect3,7,NA,NA,NA,FALSE
Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,,NA,KITBL.r5,Blank,Blank,Blank,Blank,NA,Blank,Blank,Control.Sample,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,TRUE
-74.18,-113.34,34.27,-0.29,409.58,0,0,0,0,4.9,NA,0.636,STN056b.410.pre.poly.3.LG,410,STN056b,Bottom_water,Bottom,WW-CDW,Outflow,Dotson,True.Sample,High,NA,Outflow,NA,Outflow,NA,NA,transect2,1,NA,FALSE
-74.18,-113.34,34.27,-0.29,409.58,0,0,0,0,4.9,NA,0.636,STN056b.410.fil.dura.r1,410,STN056b,Bottom_water,Bottom,WW-CDW,Outflow,Dotson,True.Sample,High,1,Outflow,NA,Outflow,NA,NA,transect2,1,NA,FALSE
-74.18,-113.34,34.27,-0.29,409.58,0,0,0,0,4.9,NA,0.636,STN056b.410.fil.dura.r2,410,STN056b,Bottom_water,Bottom,WW-CDW,Outflow,Dotson,True.Sample,High,2,Outflow,NA,Outflow,NA,NA,transect2,1,NA,FALSE
-74.18,-113.34,34.26,-0.37,390.21,0,0,0,0,4.98,NA,0.577,STN056b.390.pre.poly.3.LG,390,STN056b,Bottom_water,Bottom,WW-CDW,Outflow,Dotson,True.Sample,High,NA,Outflow,NA,Outflow,NA,NA,transect2,1,NA,FALSE
-74.18,-113.34,34.26,-0.37,390.21,0,0,0,0,4.98,NA,0.577,STN056b.390.fil.dura.r1,390,STN056b,Bottom_water,Bottom,WW-CDW,Outflow,Dotson,True.Sample,High,1,Outflow,NA,Outflow,NA,NA,transect2,1,NA,FALSE
-74.18,-113.34,34.26,-0.37,390.21,0,0,0,0,4.98,NA,0.577,STN056b.390.fil.dura.r2,390,STN056b,Bottom_water,Bottom,WW-CDW,Outflow,Dotson,True.Sample,High,2,Outflow,NA,Outflow,NA,NA,transect2,1,NA,FALSE
-74.18,-113.34,34.23,-0.47,349.7,0,0,0,0,5.03,NA,0.628,STN056b.350.pre.poly.3.LG,350,STN056b,Intermediate,Mid-Bottom,WW-CDW,Outflow,Dotson,True.Sample,High,NA,Outflow,NA,Outflow,NA,NA,transect2,1,NA,FALSE
-74.18,-113.34,34.23,-0.47,349.7,0,0,0,0,5.03,NA,0.628,STN056b.350.fil.dura.r1,350,STN056b,Intermediate,Mid-Bottom,WW-CDW,Outflow,Dotson,True.Sample,High,1,Outflow,NA,Outflow,NA,NA,transect2,1,NA,FALSE
-74.18,-113.34,34.23,-0.47,349.7,0,0,0,0,5.03,NA,0.628,STN056b.350.fil.dura.r2,350,STN056b,Intermediate,Mid-Bottom,WW-CDW,Outflow,Dotson,True.Sample,High,2,Outflow,NA,Outflow,NA,NA,transect2,1,NA,FALSE
-74.18,-113.34,34.01,-1.19,189.84,0,0,0,0,5.35,NA,0.536,STN056b.190.pre.poly.3.LG,190,STN056b,Intermediate,Mid,WW-CDW,Outflow,Dotson,True.Sample,High,NA,Outflow,NA,Outflow,transect3,7,transect2,1,NA,FALSE
-74.18,-113.34,34.01,-1.19,189.84,0,0,0,0,5.35,NA,0.536,STN056b.190.fil.dura.r1,190,STN056b,Intermediate,Mid,WW-CDW,Outflow,Dotson,True.Sample,High,1,Outflow,NA,Outflow,transect3,7,transect2,1,NA,FALSE
-74.18,-113.34,34.01,-1.19,189.84,0,0,0,0,5.35,NA,0.536,STN056b.190.fil.dura.r2,190,STN056b,Intermediate,Mid,WW-CDW,Outflow,Dotson,True.Sample,High,2,Outflow,NA,Outflow,transect3,7,transect2,1,NA,FALSE
-74.18,-113.34,33.88,-1.45,90.06,0,0,0,0,5.49,NA,0.588,STN056b.90.pre.poly.3.LG,90,STN056b,Intermediate,Mid-Surface,WW,Outflow,Dotson,True.Sample,High,NA,Dotson_CC,NA,NA,transect3,7,NA,NA,NA,FALSE
-74.18,-113.34,33.88,-1.45,90.06,0,0,0,0,5.49,NA,0.588,STN056b.90.fil.dura.r1,90,STN056b,Intermediate,Mid-Surface,WW,Outflow,Dotson,True.Sample,High,1,Dotson_CC,NA,NA,transect3,7,NA,NA,NA,FALSE
-74.18,-113.34,33.88,-1.45,90.06,0,0,0,0,5.49,NA,0.588,STN056b.90.fil.dura.r2,90,STN056b,Intermediate,Mid-Surface,WW,Outflow,Dotson,True.Sample,High,2,Dotson_CC,NA,NA,transect3,7,NA,NA,NA,FALSE
-74.18,-113.34,33.81,-1.36,30.17,0,0,0,0,6.59,NA,0.499,STN056b.30.pre.poly.3.LG,30,STN056b,Surface,Surface,AASW-WW,Outflow,Dotson,True.Sample,Low,NA,Dotson_CC,NA,NA,transect3,7,NA,NA,NA,FALSE
-74.18,-113.34,33.81,-1.36,30.17,0,0,0,0,6.59,NA,0.499,STN056b.30.fil.dura.r1,30,STN056b,Surface,Surface,AASW-WW,Outflow,Dotson,True.Sample,Low,1,Dotson_CC,NA,NA,transect3,7,NA,NA,NA,FALSE
-74.18,-113.34,33.81,-1.36,30.17,0,0,0,0,6.59,NA,0.499,STN056b.30.fil.dura.r2,30,STN056b,Surface,Surface,AASW-WW,Outflow,Dotson,True.Sample,Low,2,Dotson_CC,NA,NA,transect3,7,NA,NA,NA,FALSE
Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,,NA,KITBL.r12,Blank,Blank,Blank,Blank,NA,Blank,Blank,Control.Sample,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,TRUE
-74.02906,-113.34464,34.11,-0.71,256.59,33.16,2.23,0.02,0.19,5.09,55.5,0.511,STN068.257.pre.poly.3.LG,257,STN068,Bottom_water,Bottom,WW-CDW,Outflow,Western_CC,True.Sample,High,NA,Outflow,NA,Outflow,NA,NA,transect2,2,NA,FALSE
-74.02906,-113.34464,34.1,-0.71,256.6,33.16,2.23,0.02,0.19,5.07,55.5,0.511,STN068.257.fil.dura.r1,257,STN068,Bottom_water,Bottom,WW-CDW,Outflow,Western_CC,True.Sample,High,1,Outflow,NA,Outflow,NA,NA,transect2,2,NA,FALSE
-74.02906,-113.34464,34.1,-0.71,256.6,33.16,2.23,0.02,0.19,5.07,55.5,0.511,STN068.257.fil.dura.r2,257,STN068,Bottom_water,Bottom,WW-CDW,Outflow,Western_CC,True.Sample,High,2,Outflow,NA,Outflow,NA,NA,transect2,2,NA,FALSE
PosCtrl,PosCtrl,PosCtrl,PosCtrl,PosCtrl,PosCtrl,PosCtrl,PosCtrl,PosCtrl,PosCtrl,NA,NA,PCR.pos.r3,PosCtrl,PosCtrl,PosCtrl,PosCtrl,NA,PosCtrl,PosCtrl,Control.Sample,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,TRUE
NegCtrl,NegCtrl,NegCtrl,NegCtrl,NegCtrl,NegCtrl,NegCtrl,NegCtrl,NegCtrl,NegCtrl,NA,NA,PCR.neg.r3,NegCtrl,NegCtrl,NegCtrl,NegCtrl,NA,NegCtrl,NegCtrl,Control.Sample,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,TRUE
-74.02906,-113.34464,34.05,-0.9,189.6,32.08,2.19,0.02,0.27,5.23,51.4,0.493,STN068.190.pre.poly.3.LG,190,STN068,Intermediate,Mid,WW-CDW,Outflow,Western_CC,True.Sample,Low,NA,Western_CC,NA,Outflow,transect3,8,transect2,2,NA,FALSE
-74.02906,-113.34464,34.05,-0.92,189.62,32.08,2.19,0.02,0.27,5.2,51.4,0.493,STN068.190.fil.dura.r1,190,STN068,Intermediate,Mid,WW-CDW,Outflow,Western_CC,True.Sample,Low,1,Western_CC,NA,Outflow,transect3,8,transect2,2,NA,FALSE
-74.02906,-113.34464,34.05,-0.92,189.62,32.08,2.19,0.02,0.27,5.2,51.4,0.493,STN068.190.fil.dura.r2,190,STN068,Intermediate,Mid,WW-CDW,Outflow,Western_CC,True.Sample,Low,2,Western_CC,NA,Outflow,transect3,8,transect2,2,NA,FALSE
-74.02906,-113.34464,33.9,-1.34,90.03,32.09,2.19,0.03,0.09,5.72,44.1,0.133,STN068.90.pre.poly.3.LG,90,STN068,Intermediate,Mid-Surface,WW-CDW,Outflow,Western_CC,True.Sample,Low,NA,Western_CC,NA,Outflow,transect3,8,transect2,2,NA,FALSE
-74.02906,-113.34464,33.89,-1.35,90.04,32.09,2.19,0.03,0.09,5.81,44.1,0.133,STN068.90.fil.dura.r1,90,STN068,Intermediate,Mid-Surface,WW-CDW,Outflow,Western_CC,True.Sample,Low,1,Western_CC,NA,Outflow,transect3,8,transect2,2,NA,FALSE
-74.02906,-113.34464,33.89,-1.35,90.04,32.09,2.19,0.03,0.09,5.82,44.1,0.133,STN068.90.fil.dura.r2,90,STN068,Intermediate,Mid-Surface,WW-CDW,Outflow,Western_CC,True.Sample,Low,2,Western_CC,NA,Outflow,transect3,8,transect2,2,NA,FALSE
-74.02906,-113.34464,33.79,-1.03,30.17,20.94,1.62,0.05,0.19,8.49,44.6,0.133,STN068.30.pre.poly.3.LG,90,STN068,Surface,Surface,AASW,Outflow,Western_CC,True.Sample,Low,NA,Western_CC,NA,NA,transect3,8,transect2,2,NA,FALSE
-74.02906,-113.34464,33.79,-1.03,30.18,20.94,1.62,0.05,0.19,8.57,44.6,NA,STN068.30.fil.dura.r1,30,STN068,Surface,Surface,AASW,Outflow,Western_CC,True.Sample,NA,1,Western_CC,NA,NA,transect3,8,transect2,2,NA,FALSE
-74.02906,-113.34464,33.79,-1.03,30.18,20.94,1.62,0.05,0.19,8.57,44.6,NA,STN068.30.fil.dura.r2,30,STN068,Surface,Surface,AASW,Outflow,Western_CC,True.Sample,NA,2,Western_CC,NA,NA,transect3,8,transect2,2,NA,FALSE
Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,,NA,KITBL.r13,Blank,Blank,Blank,Blank,NA,Blank,Blank,Control.Sample,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,TRUE
-74.2288,-112.68502,34.54,0.48,1039.6,32.92,2.28,0.01,0.24,4.58,39.6,0.553,STN078.1040.pre.poly.3.LG,1040,STN078,Bottom_water,Bottom,CDW,Coastal_current,Dotson,True.Sample,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
-74.2288,-112.68502,34.54,0.48,1039.31,32.92,2.28,0.01,0.24,4.59,39.6,0.553,STN078.1040.fil.dura.r1,1039,STN078,Bottom_water,Bottom,CDW,Coastal_current,Dotson,True.Sample,High,1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
-74.2288,-112.68502,34.54,0.48,1039.31,32.92,2.28,0.01,0.24,4.59,39.6,0.553,STN078.1040.fil.dura.r2,1039,STN078,Bottom_water,Bottom,CDW,Coastal_current,Dotson,True.Sample,High,2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
-74.2288,-112.68502,34.28,-0.32,439.86,32.91,2.23,0.01,0.46,5,41.2,0.478,STN078.440.pre.poly.3.LG,440,STN078,Intermediate,Mid,WW-CDW,Coastal_current,Dotson,True.Sample,Low,NA,NA,13.1,NA,NA,NA,NA,NA,NA,FALSE
-74.2288,-112.68502,34.28,-0.33,439.87,32.91,2.23,0.01,0.46,5,41.2,0.478,STN078.440.fil.dura.r1,440,STN078,Intermediate,Mid,WW-CDW,Coastal_current,Dotson,True.Sample,Low,1,NA,13.1,NA,NA,NA,NA,NA,NA,FALSE
-74.2288,-112.68502,34.28,-0.33,439.87,32.91,2.23,0.01,0.46,5,41.2,0.478,STN078.440.fil.dura.r2,440,STN078,Intermediate,Mid,WW-CDW,Coastal_current,Dotson,True.Sample,Low,2,NA,13.1,NA,NA,NA,NA,NA,NA,FALSE
-74.2288,-112.68502,34.06,-1.39,299.57,31.71,2.17,0.03,0.13,6.16,,0.436,STN078.300.pre.poly.3.LG,300,STN078,Intermediate,Mid,WW-CDW,Coastal_current,Dotson,True.Sample,Low,NA,NA,9.9,NA,NA,NA,NA,NA,NA,FALSE
-74.2288,-112.68502,34.06,-1.4,299.78,31.71,2.17,0.03,0.13,6.16,NA,0.436,STN078.300.fil.dura.r1,300,STN078,Intermediate,Mid,WW-CDW,Coastal_current,Dotson,True.Sample,Low,1,NA,9.9,NA,NA,NA,NA,NA,NA,FALSE
-74.2288,-112.68502,34.06,-1.4,299.78,31.71,2.17,0.03,0.13,6.16,NA,0.436,STN078.300.fil.dura.r2,300,STN078,Intermediate,Mid,WW-CDW,Coastal_current,Dotson,True.Sample,Low,2,NA,9.9,NA,NA,NA,NA,NA,NA,FALSE
-74.2288,-112.68502,33.97,-1.5,180.12,30,2.09,0.06,0.41,6.34,47.4,0.359,STN078.180.pre.poly.3.LG,180,STN078,Intermediate,Mid,WW,Coastal_current,Dotson,True.Sample,Low,NA,Dotson_CC,NA,NA,transect3,6,NA,NA,NA,FALSE
-74.2288,-112.68502,33.93,-1.44,100.24,30.54,2.11,0.05,0.41,6.28,NA,0.266,STN078.100.pre.poly.3.LG,100,STN078,Intermediate,Mid-Surface,WW,Coastal_current,Dotson,True.Sample,Low,NA,Dotson_CC,4,NA,transect3,6,NA,NA,NA,FALSE
-74.2288,-112.68502,33.93,-1.44,100.26,30.54,2.11,0.05,0.41,6.28,NA,0.266,STN078.100.fil.dura.r1,100,STN078,Intermediate,Mid-Surface,WW,Coastal_current,Dotson,True.Sample,Low,1,Dotson_CC,4,NA,transect3,6,NA,NA,NA,FALSE
-74.2288,-112.68502,33.93,-1.44,100.26,30.54,2.11,0.05,0.41,6.28,NA,0.266,STN078.100.fil.dura.r2,100,STN078,Intermediate,Mid-Surface,WW,Coastal_current,Dotson,True.Sample,Low,2,Dotson_CC,4,NA,transect3,6,NA,NA,NA,FALSE
-74.2288,-112.68502,33.83,-1.31,19.87,27.72,1.97,0.05,0.34,7.03,54.2,0.122,STN078.20.pre.poly.3.LG,20,STN078,Surface,Surface,AASW-WW,Coastal_current,Dotson,True.Sample,Low,NA,Dotson_CC,1.9,NA,transect3,6,NA,NA,NA,FALSE
-74.2288,-112.68502,33.83,-1.31,19.79,27.72,1.97,0.05,0.34,7.05,54.2,0.122,STN078.20.fil.dura.r1,20,STN078,Surface,Surface,AASW-WW,Coastal_current,Dotson,True.Sample,Low,1,Dotson_CC,1.9,NA,transect3,6,NA,NA,NA,FALSE
-74.2288,-112.68502,33.83,-1.31,19.79,27.72,1.97,0.05,0.34,7.05,54.2,0.122,STN078.20.fil.dura.r2,20,STN078,Surface,Surface,AASW-WW,Coastal_current,Dotson,True.Sample,Low,2,Dotson_CC,1.9,NA,transect3,6,NA,NA,NA,FALSE
Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,,NA,KITBL.r14,Blank,Blank,Blank,Blank,NA,Blank,Blank,Control.Sample,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,TRUE
-74.39296,-110.08594,34.7,1.11,1271.26,38.6,2.7,0.01,0.48,4.31,43.8,0.399,STN089.1271.pre.poly.3.LG,1271,STN089,Bottom_water,Bottom,CDW,Coastal_current,Eastern_CC,True.Sample,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
-74.39296,-110.08594,34.7,1.11,1271.26,38.6,2.7,0.01,0.48,4.31,43.8,0.399,STN089.1271.fil.dura.r1,1271,STN089,Bottom_water,Bottom,CDW,Coastal_current,Eastern_CC,True.Sample,Low,1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
-74.39296,-110.08594,34.7,1.11,1271.26,38.6,2.7,0.01,0.48,4.31,43.8,0.399,STN089.1271.fil.dura.r2,1271,STN089,Bottom_water,Bottom,CDW,Coastal_current,Eastern_CC,True.Sample,Low,2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
-74.39296,-110.08594,34.34,-0.11,500.21,38.12,2.69,0.01,0.12,4.94,42.2,0.491,STN089.500.pre.poly.3.LG,500,STN089,Intermediate,Mid-Bottom,WW-CDW,Coastal_current,Eastern_CC,True.Sample,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
-74.39296,-110.08594,34.34,-0.11,500.24,38.12,2.69,0.01,0.12,4.95,42.2,0.491,STN089.500.fil.dura.r1,500,STN089,Intermediate,Mid-Bottom,WW-CDW,Coastal_current,Eastern_CC,True.Sample,Low,1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
-74.39296,-110.08594,34.34,-0.11,500.24,38.12,2.69,0.01,0.12,4.95,42.2,0.491,STN089.500.fil.dura.r2,500,STN089,Intermediate,Mid-Bottom,WW-CDW,Coastal_current,Eastern_CC,True.Sample,Low,2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
-74.39296,-110.08594,34.1,-0.77,300.13,37.47,2.62,0.01,0.13,5.18,41.4,0.577,STN089.300.pre.poly.3.LG,300,STN089,Intermediate,Mid,WW-CDW,Coastal_current,Eastern_CC,True.Sample,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
-74.39296,-110.08594,34.1,-0.77,300.15,37.47,2.62,0.01,0.13,5.18,41.4,0.577,STN089.300.fil.dura.r1,300,STN089,Intermediate,Mid,WW-CDW,Coastal_current,Eastern_CC,True.Sample,High,1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
-74.39296,-110.08594,34.1,-0.77,300.15,37.47,2.62,0.01,0.13,5.18,41.4,0.577,STN089.300.fil.dura.r2,300,STN089,Intermediate,Mid,WW-CDW,Coastal_current,Eastern_CC,True.Sample,High,2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
-74.39296,-110.08594,34.02,-1.03,199.68,37.46,2.59,0.01,0.13,5.3,49.2,0.626,STN089.200.pre.poly.3.LG,200,STN089,Intermediate,Mid-Surface,WW-CDW,Coastal_current,Eastern_CC,True.Sample,High,NA,Eastern_CC,NA,NA,transect3,1,NA,NA,NA,FALSE
-74.39296,-110.08594,34.01,-1.03,199.71,37.46,2.59,0.01,0.13,5.29,49.2,0.626,STN089.200.fil.dura.r1,200,STN089,Intermediate,Mid-Surface,WW-CDW,Coastal_current,Eastern_CC,True.Sample,High,1,Eastern_CC,NA,NA,transect3,1,NA,NA,NA,FALSE
-74.39296,-110.08594,34.01,-1.03,199.71,37.46,2.59,0.01,0.13,5.29,49.2,0.626,STN089.200.fil.dura.r2,200,STN089,Intermediate,Mid-Surface,WW-CDW,Coastal_current,Eastern_CC,True.Sample,High,2,Eastern_CC,NA,NA,transect3,1,NA,NA,NA,FALSE
-74.39296,-110.08594,33.77,-1.53,2.24,36.66,2.58,0.02,0.1,5.65,41.9,0.941,STN089.2.pre.poly.3.LG,2,STN089,Surface,Surface,AASW-WW,Coastal_current,Eastern_CC,True.Sample,High,NA,Eastern_CC,NA,NA,transect3,1,NA,NA,NA,FALSE
-74.39296,-110.08594,33.77,-1.53,2.24,36.66,2.58,0.02,0.1,5.63,41.9,0.941,STN089.2.fil.dura.r1,2,STN089,Surface,Surface,AASW-WW,Coastal_current,Eastern_CC,True.Sample,High,1,Eastern_CC,NA,NA,transect3,1,NA,NA,NA,FALSE
-74.39296,-110.08594,33.77,-1.52,2.24,36.66,2.58,0.02,0.1,5.66,41.9,0.941,STN089.2.fil.dura.r2,2,STN089,Surface,Surface,AASW-WW,Coastal_current,Eastern_CC,True.Sample,High,2,Eastern_CC,NA,NA,transect3,1,NA,NA,NA,FALSE
-74.15912,-111.4394,34.04,-1.35,317.78,36.42,2.56,0.03,0.17,6.05,39.6,0.509,STN106.318.pre.poly.2.LG,318,STN106,Bottom_water,Bottom,WW-CDW,Inflow,Eastern_CC,True.Sample,High,NA,NA,81.3,NA,NA,NA,NA,NA,NA,FALSE
-74.15912,-111.4394,34.04,-1.35,317.74,36.42,2.56,0.03,0.17,6.04,39.6,0.509,STN106.318.fil.dura.r1,318,STN106,Bottom_water,Bottom,WW-CDW,Inflow,Eastern_CC,True.Sample,High,1,NA,81.3,NA,NA,NA,NA,NA,NA,FALSE
-74.15912,-111.4394,34.04,-1.35,317.74,36.42,2.56,0.03,0.17,6.04,39.6,0.509,STN106.318.fil.dura.r2,318,STN106,Bottom_water,Bottom,WW-CDW,Inflow,Eastern_CC,True.Sample,High,2,NA,81.3,NA,NA,NA,NA,NA,NA,FALSE
-74.15912,-111.4394,34,-1.37,200.03,36.23,2.51,0.04,0.22,5.97,NA,NA,STN106.200.pre.poly.3.S,200,STN106,Intermediate,Mid-Bottom,WW-CDW,Inflow,Eastern_CC,True.Sample,NA,NA,Eastern_CC,NA,NA,transect3,3,NA,NA,NA,FALSE
-74.15912,-111.4394,34,-1.37,200.03,36.23,2.51,0.04,0.22,5.97,NA,NA,STN106.200.fil.dura.r1,200,STN106,Intermediate,Mid-Bottom,WW-CDW,Inflow,Eastern_CC,True.Sample,NA,1,Eastern_CC,NA,NA,transect3,3,NA,NA,NA,FALSE
-74.15912,-111.4394,34,-1.37,200.03,36.23,2.51,0.04,0.22,5.97,NA,NA,STN106.200.fil.dura.r2,200,STN106,Intermediate,Mid-Bottom,WW-CDW,Inflow,Eastern_CC,True.Sample,NA,2,Eastern_CC,NA,NA,transect3,3,NA,NA,NA,FALSE
-74.15912,-111.4394,33.98,-1.33,169.81,36.53,2.56,0.04,0.35,5.82,42.1,0.518,STN106.170.pre.poly.2.LG,170,STN106,Intermediate,Mid,WW-CDW,Inflow,Eastern_CC,True.Sample,High,NA,Eastern_CC,15.9,NA,transect3,3,NA,NA,NA,FALSE
-74.15912,-111.4394,33.97,-1.33,169.86,36.53,2.56,0.04,0.35,5.77,42.1,0.518,STN106.170.fil.dura.r1,170,STN106,Intermediate,Mid,WW-CDW,Inflow,Eastern_CC,True.Sample,High,1,Eastern_CC,15.9,NA,transect3,3,NA,NA,NA,FALSE
-74.15912,-111.4394,33.97,-1.33,169.86,36.53,2.56,0.04,0.35,5.77,42.1,0.518,STN106.170.fil.dura.r2,170,STN106,Intermediate,Mid,WW-CDW,Inflow,Eastern_CC,True.Sample,High,2,Eastern_CC,15.9,NA,transect3,3,NA,NA,NA,FALSE
-74.15912,-111.4394,33.87,-1.38,100.3,35.09,2.49,0.03,0.23,6.09,42.5,0.506,STN106.100.pre.poly.3.S,100,STN106,Intermediate,Mid-Surface,Other,Inflow,Eastern_CC,True.Sample,High,NA,Eastern_CC,13.2,NA,transect3,3,NA,NA,NA,FALSE
-74.15912,-111.4394,33.87,-1.38,100.32,35.09,2.49,0.03,0.23,6.05,42.5,0.506,STN106.100.fil.dura.r1,100,STN106,Intermediate,Mid-Surface,Other,Inflow,Eastern_CC,True.Sample,High,1,Eastern_CC,13.2,NA,transect3,3,NA,NA,NA,FALSE
-74.15912,-111.4394,33.87,-1.38,100.32,35.09,2.49,0.03,0.23,6.05,42.5,0.506,STN106.100.fil.dura.r2,100,STN106,Intermediate,Mid-Surface,Other,Inflow,Eastern_CC,True.Sample,High,2,Eastern_CC,13.2,NA,transect3,3,NA,NA,NA,FALSE
-74.15912,-111.4394,33.82,-1.3,19.93,32.61,2.27,0.05,0.16,6.88,42.3,0.174,STN106.20.pre.poly.3.S,20,STN106,Surface,Surface,AASW-WW,Inflow,Eastern_CC,True.Sample,Low,NA,Eastern_CC,NA,NA,transect3,3,NA,NA,NA,FALSE
-74.15912,-111.4394,33.82,-1.3,19.97,32.61,2.27,0.05,0.16,6.97,42.3,0.174,STN106.20.fil.dura.r1,20,STN106,Surface,Surface,AASW-WW,Inflow,Eastern_CC,True.Sample,Low,1,Eastern_CC,NA,NA,transect3,3,NA,NA,NA,FALSE
-74.15912,-111.4394,33.82,-1.3,19.97,32.61,2.27,0.05,0.16,6.97,42.3,0.174,STN106.20.fil.dura.r2,20,STN106,Surface,Surface,AASW-WW,Inflow,Eastern_CC,True.Sample,Low,2,Eastern_CC,NA,NA,transect3,3,NA,NA,NA,FALSE
Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,KITBL.r1,Blank,Blank,Blank,Blank,NA,Blank,Blank,Control.Sample,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,TRUE
-73.79998,-112.66742,34.58,0.58,729.92,37.39,2.74,0.02,0.19,4.58,50.7,NA,STN115.730.pre.poly.3.S,730,STN115,Bottom_water,Bottom,CDW,Open_polynya,Open_polynya,True.Sample,NA,NA,NA,NA,NA,NA,NA,transect1,4,NA,FALSE
-73.79998,-112.66742,34.58,0.58,729.92,37.39,2.74,0.02,0.19,4.58,50.7,NA,STN115.730.fil.dura.r1,730,STN115,Bottom_water,Bottom,CDW,Open_polynya,Open_polynya,True.Sample,NA,1,NA,NA,NA,NA,NA,transect1,4,NA,FALSE
-73.79998,-112.66742,34.58,0.58,299.96,37.39,2.74,0.02,0.19,5.96,50.7,NA,STN115.730.fil.dura.r2,730,STN115,Bottom_water,Bottom,WW-CDW,Open_polynya,Open_polynya,True.Sample,NA,2,NA,NA,NA,NA,NA,transect1,4,NA,FALSE
