"","STN002.517.fil.dura.r1","STN002.517.fil.dura.r2","STN004.555.fil.dura.r1","STN004.555.fil.dura.r2","STN012.730.fil.dura.r1","STN012.730.fil.dura.r2","STN014.580.fil.dura.r1","STN014.580.fil.dura.r2","STN014.700.fil.dura.r1","STN014.700.fil.dura.r2","STN014.860.fil.dura.r1","STN014.860.fil.dura.r2","STN078.1040.fil.dura.r1","STN078.1040.fil.dura.r2","STN089.1271.fil.dura.r1","STN089.1271.fil.dura.r2","STN115.730.fil.dura.r1","STN12.3.732.fil.poly.S.r1","STN151.2.600.fil.poly.S.r1","STN151.2.673.fil.poly.S.r1","STN174.620.fil.poly.S.r1","STN181.757.fil.poly.S.r1","STN20.499.fil.dura.r1","STN20.499.fil.dura.r2","STN22.610.fil.dura.r1","STN22.610.fil.dura.r2"
"Seq71",0.0011746821448314,0,0,0.000199594158544293,0.000833622785689476,0,0,0.000675252013697969,0.000753544011679932,0,0,0.000670428515559528,0,0,0,0,0.000500396146949669,0.00101569981717403,0.000177038151721696,0,0.000342348510783978,0.000371719574752807,0.00076638565859185,0.000268353459842822,0,0
"Seq78",0.0124032614704257,0.0134439359267735,0.00604240538389174,0.0108113502544826,0.000416811392844738,0,0.000436728900534993,0,0.000941930014599915,0.0010358937173046,0.000414995158389819,0.000838035644449411,0,0,0,0,0.000542095825862141,0.000522359905975217,0,0.00154935032923694,0.00078740157480315,0.000483235447178648,0,0.000306689668391796,0.000189777327935223,0
"Seq81",0,0.000238367658276125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000145099973882005,0.00022129768965212,0.000845100179583788,0.00427935638479973,0.00245334919336852,0,0,0,0
"Seq90",0,0,7.23641363340328e-05,0.000133062772362862,0.000347342827370615,0.000133232668650353,0.000818866688503112,0.000675252013697969,0.000282579004379975,0.000569741544517533,0.000507216304698667,0,0.00111275964391691,0.000598313842806636,0.0010359893698482,0.00078254465107715,0.000333597431299779,0.00133491975971444,0.000309816765512968,0.000774675164618472,0.000102704553235193,0.000297375659802245,0.0007997067741828,0.00107341383937129,0.000948886639676113,0.000798137678749584
"Seq91",0.00746268656716418,0.00700800915331808,0.00984152254142847,0.0129736203053791,0.0102466134074331,0.00866012346227295,0.00103723113877061,0.00101287802054695,0.00518061508029953,0.00538664732998394,0.00507216304698667,0.00413430917928376,0.000834569732937685,0,0.0445024998873925,0.03972564905174,0.00583795504774613,0.00481731913288256,0.00292112950340798,0.000563400119722525,0.00373159876754536,0.00472083859936064,0.0045316717203692,0.00337358635230976,0.00253036437246964,0.000731626205520452
"Seq93",0.00217661691542289,0,0,0,0.0102466134074331,0.00839365812497224,0.00753357353422863,0.00940529590507886,0.010973484670089,0.0126379033511162,0.0125881864711578,0.0119001061511816,0.0126112759643917,0.0122926298613,0,0,0.0103415203702931,0.00815461853216866,0.0108435867929539,0.0114792774393465,0.00585415953440602,0.00334547617277526,0.0109959681450135,0.0100057504312823,0.00746457489878543,0.00917858330562022
"Seq94",0.00044914317302377,0.000524408848207475,0.000470366886171214,0.000565516782542164,0.00267453977075373,0.00262024248345694,0.00207446227754122,0.00308686634833357,0.00372062355766966,0.00429895892681411,0.00355051413289067,0.00301692832001788,0.00157640949554896,0.00255643187381017,0.00319805414170533,0.0039587552936844,0.00170968683541137,0.00208943962390087,0.00168186244135611,0.00404943836050565,0.00133515919205751,0.000817783064456174,0.0024657625537303,0.00348859497795668,0.00265688259109312,0.0014632524110409
"Seq95",0.00103648424543947,0.00123951182303585,0.000796005499674361,0,0.00201458839874957,0.00244259892525647,0.00414892455508243,0.00443737037572951,0.00574577308905948,0.00383280675402704,0.00179831235302255,0.00340801162076094,0.00472922848664688,0.0054392167527876,0.00481960272059817,0.00575400478733198,0.00179308619323631,0.00400475927914333,0.00500132778613791,0.00179583788161555,0.00126668948990072,0.000854955021931455,0.0035320382526407,0.00475368986007284,0.00531376518218623,0.00325906218822747
"Seq97",0.00169292426755113,0.00166857360793288,0.00108546204501049,0.0010645021789029,0.00628690517540813,0.00457432162366212,0.00933508024893547,0.00805479187768292,0.00744124711533933,0.00766561350805407,0.00862267717987735,0.00899491591709034,0.0128894658753709,0.0142507478923035,0.00851313003918742,0.00791751058736881,0.00646345023143322,0.00542673902318698,0.0121271133929362,0.00362688827071376,0.00181444710715508,0.00156122221396179,0.0110626103761954,0.0100440866398313,0.0106907894736842,0.0118390422347855
"Seq98",0,0.000619755911517925,0,0,0.00159777700590483,0.00208731180885553,0,0,0.000941930014599915,0,0.000922211463088486,0,0,0,0,0,0.00162628747758642,0.00200237963957167,0.00066389306895636,0.000387337582309236,0,0.00312244442792357,0.0005997800806371,0,0,0
"Seq101",0.00110558319513543,0.00214530892448513,0.000940733772342427,0.00156348757526363,0.00941299062174366,0.00683927699071812,0.00862539578556611,0.00192929146770848,0.00970187915037913,0.0111358574610245,0.0070088071194725,0.0101681658193195,0.0134458456973294,0.0161000815882513,0.0163506148371695,0.0218191861535629,0.00675534798382052,0.00806755854783946,0.0135876781446402,0.00116201274692771,0.00280725778842862,0.00141253438406066,0.015994135483656,0.016599578301706,0.00474443319838057,0.00651812437645494
"Seq110",0.00255666113875069,0.001906941266209,0.00119400824951154,0.00419147732943016,0.0105939562348038,0.0107030243815784,0.00698766240855989,0.0110934259393238,0.0133283097065888,0.0131040555239032,0.0154009314335777,0.0138555226548969,0.0169695845697329,0.0131085123742181,0.00639610828341066,0.00474129994476155,0.00458696468037196,0.00815461853216866,0.0112861821722581,0.015845628367196,0.00277302293735022,0.002118801576091,0.0144280430508813,0.0130726471152003,0.0115764170040486,0.0116395078150981
"Seq117",0,0,0,0,0.000312608544633553,0.000222054447750588,0.00109182225133748,0.000964645733854242,0.000565158008759949,0.000828714973843684,0.000599437451007516,0.000335214257779764,0.000649109792284866,0.00081588251291814,0.000990946353767848,0.00105873688086908,0.000291897752387307,8.70599843292028e-05,0.00044259537930424,0.000105637522447974,0,0,0.00043317450268235,0.000153344834195898,0.000822368421052632,0.000532091785833056
"Seq123",0.0105030403537866,0.009534706331045,0.000687459295173312,0.00133062772362862,0.00871830496700243,0.00515166318781365,0.0218910361393165,0.0134568079872667,0.00659351010219941,0.0104107318589113,0.0104209895328999,0.00927426113190681,0.0125185459940653,0.0155561599129725,0.0303589928381604,0.0324525870005524,0.0112172136274551,0.0091122783597899,0.0234575551031247,0.00721856403394486,0.000547757617254365,0.00107798676678314,0.0244910199593482,0.0223500095840521,0.00917257085020243,0.0220818091120718
"Seq124",0.00114013266998342,0.00100114416475973,0.00101309790867646,0.00186287881308007,0.00635637374088225,0.00488519785051295,0.00207446227754122,0.00294216948825544,0.00390900956058965,0.00383280675402704,0.00419606215705261,0.00351974970668752,0.00139094955489614,0.00141419635572478,0.00148641953065177,0.00193334560854355,0.00333597431299779,0.00525261905452857,0.00132778613791272,0.000739462657135815,0.0030811365970558,0.00159839417143707,0.0040651761020959,0.00295188805827104,0.000632591093117409,0.000399068839374792
"Seq125",0.000829187396351575,0.00147787948131198,0,0,0.000972559916637721,0.00111027223875294,0.0014739600393056,0.000578787440312545,0.00131870202043988,0.00145025120422645,0.00101443260939733,0.000893904687412705,0,0.000870274680446016,0.000720688257285708,0.000966672804271773,0.000583795504774613,0.000580399895528019,0.00168186244135611,0.0067608014366703,0,0,0.00049981673386425,0.00233850872148744,0.00404858299595142,0.00492184901895577
"Seq128",0.00252211166390271,0.00257437070938215,0.00235183443085607,0.00163001896144506,0.00573115665161514,0.00515166318781365,0.00425810678021618,0.00463029952250036,0.00489803607591956,0.00657792510488424,0.0051182736201411,0.00458126152299011,0.00955118694362018,0.0110960021756867,0.00720688257285708,0.00860799116184865,0.00433676660689713,0.00452711918511855,0.00730282375851996,0.00172541286665023,0.00140362889421431,0.00178425395881347,0.0070640765052814,0.00908568142610696,0.00778087044534413,0.0068506817426006
"Seq130",0,0,0,0,0.00024313997915943,0,0,0,0.000235482503649979,0.000310768115191381,0.000414995158389819,0.000391083300743058,0,0.000326353005167256,0,0,0.000208498394562362,0.000203139963434807,0.000398335841373816,0,0,0,0.00116623904568325,0.00176346559325283,0,0.000399068839374792
"Seq132",0.00324765063571034,0.00295575896262395,0.00184528547651784,0.00113103356508433,0.00850989927058006,0.00470755429231247,0.0119008625395786,0.00766893358414122,0.0117741251824989,0.0108250893458331,0.0106054318255176,0.01424660595564,0.00769658753709199,0.0122382376937721,0.00594567812260709,0.00662861351500644,0.00758934156206997,0.00536869903363417,0.0108435867929539,0.0107398147822106,0.00243067442656624,0.00144970634153595,0.012662023924561,0.0141460609545716,0.0144230769230769,0.018623212504157
"Seq134",0.00114013266998342,0.0009534706331045,0.000868369636008394,0.000964705099630751,0.00215352552969781,0.00270906426255718,0.00343924009171307,0.00342449235518256,0.00263740404087976,0.0022271714922049,0.00285885553557431,0.0027934521481647,0.00176186943620178,0.00152298069078053,0.00459438764019639,0.00649051740011048,0.00379467078103499,0.00266983951942889,0.00115074798619102,0.000739462657135815,0,0.000743439149505613,0.0077971410482823,0.00801226758673567,0.00234058704453441,0.00292650482208181
"Seq137",0.0903814262023217,0.101067887109077,0.00741732397423837,0.0166993779315392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq142",0,0,0.000217092409002099,0.000332656930907155,0.00093782563390066,0.00137673757605365,0.0014739600393056,0.00168813003424492,0.000800640512409928,0.00129486714663076,0.00129109604832388,0.00167607128889882,0.00176186943620178,0.00190372586347566,0.000360344128642854,0.000230160191493279,0.000833993578249447,0.000493339911198816,0.0020359387447995,0.000880312687066446,0.000410818212940774,0,0.00216587251341175,0.00130343109066513,0.00183451417004049,0.00179580977718656
"Seq144",0.00141652846876727,0.00123951182303585,0.000976915840509444,0.00139715910981005,0.00576589093435221,0.00661722254296754,0.00414892455508243,0.00689721699705783,0.00937220364526916,0.00870150722535868,0.00843823488725965,0.00910665400301693,0.00992210682492582,0.00663584443840087,0.00319805414170533,0.00290001841281532,0.00383637045994746,0.00728401868887664,0.00805523590333717,0.00211275044895947,0.00167750770284149,0.000892126979406736,0.00889673786278365,0.00996741422273337,0.00702176113360324,0.0066511473229132
"Seq148",0,0,0.00112164411317751,0.00166328465453578,0.00336922542549496,0.00555136119376471,0.00567747570695491,0.00617373269666715,0.00414449206423963,0.00460972704200549,0.00631714852215613,0,0.00593471810089021,0.00418819689964645,0.00310796810954462,0.00280795433621801,0.00304407656061048,0.00240865956644128,0.00531114455165088,0.0104581147223494,0,0,0.00463163506714205,0.00310523289246693,0.00442813765182186,0.00611905553708015
"Seq153",0.0108139856274185,0.00738939740655988,0.0032925682031985,0.00399188317088587,0.0128864188954498,0.0153661677843407,0,0,0.000847737013139924,0,0.00253608152349334,0.00245823789038494,0,0,0,0,0,0,0,0,0.00030811365970558,0.000631923277079771,0.00036653227150045,0.000153344834195898,0,0
"Seq155",0.000380044223327805,0.0001906941266209,0,0,0.000868357068426537,0.00115468312830306,0.00360301342941369,0.0024116143346356,0.00164837752554985,0.00165742994768737,0.00142942776778715,0.000726297558522822,0.00380192878338279,0.00342670655425619,0.00202693572361605,0.00202540968514086,0.000416996789124724,0.000870599843292028,0.000929450296538904,0.000669037642170499,0.000273878808627182,0,0.0015994135483656,0.00176346559325283,0.0027834008097166,0.00252743598270702
"Seq156",0.000829187396351575,0.00085812356979405,0.000687459295173312,0.000964705099630751,0.00329975686002084,0.00279788604165741,0.00600502238235615,0.0051608546761202,0.00452126407007959,0.00429895892681411,0.00410384101074376,0.00351974970668752,0.0058419881305638,0.00549360892031547,0.00959416242511599,0.00943656785122445,0.00350277302864768,0.00237963957166488,0.00367354164822519,0.00366210077819642,0,0.00100364285183258,0.00349871713704975,0.00356526739505463,0.00645242914979757,0.00645161290322581
"Seq157",0.000829187396351575,0,0,0,0.00684265369920111,0,0.00687848018342614,0.00491969324265663,0.0011303160175199,0.00113948308903507,0,0.0055869042963294,0.00185459940652819,0.00244764753875442,0.00756722670149993,0.00787147854907015,0.00571285601100872,0,0.00938302204124989,0.00475368851015881,0,0,0.00703075538969045,0.00989074180563542,0,0.000465580312603924
"Seq159",0.00276395798783858,0.00271739130434783,0,0.00103123648581218,0.00392497394928795,0.00373051472220989,0.00496779124358554,0.00501615781604206,0.00419158856496962,0.0039363961257575,0.00295107668188316,0.00301692832001788,0.00343100890207715,0.00418819689964645,0.011485969100491,0.00998895231080832,0.00471206371710938,0.00403377927391973,0.00283261042754714,0.002676150568682,0.000924340979116741,0.00130101851163482,0.0032654693279131,0.00299022426682001,0.0072747975708502,0.00671765879614233
"Seq160",0.000414593698175788,0.00047673531655225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000125099036737417,0,0.000309816765512968,0,0.000239643957548785,0.000371719574752807,0,0,0,0
"Seq161",0.00148562741846324,0.00176392067124333,0.000651277227006296,0.000997970792721466,0.00395970823202501,0.00404139094906071,0.00343924009171307,0.00212222061447933,0.0033438515518297,0.00409178018335319,0.00368884585235394,0.00435778535113693,0.00565652818991098,0.00500407941256459,0.00689158146029458,0.00994292027250967,0.0039197698177724,0.00356945935749732,0.00717004514472869,0.00577485122715589,0.00116398493666553,0.000483235447178648,0.0061977274999167,0.00682384512171746,0.00430161943319838,0.00172929830395743
"Seq166",0.00196932006633499,0.00176392067124333,0.00126637238584557,0.00156348757526363,0.00482806530045155,0.00515166318781365,0.00616879572005677,0.00299040177494815,0.0055102905854095,0.00631895167555809,0.00451883616913358,0.00586624951114587,0.00361646884272997,0.00435137340223008,0.00761226971758029,0.00805560670226478,0.00412826821233477,0.00365651934182652,0.0044259537930424,0.00250008803126871,0,0.00107798676678314,0.0034653960214588,0.00341192256085873,0.00740131578947368,0.00651812437645494
"Seq167",0.00238391376451078,0.00214530892448513,0.000868369636008394,0.00139715910981005,0.00517540812782216,0.00661722254296754,0.00627797794519052,0.00564317754304732,0.00843027363066924,0.00704407727767131,0.0087148983261862,0.00765405888597128,0.00788204747774481,0.0056567854228991,0.00572046304220531,0.00372859510219112,0.00383637045994746,0.0060361589134914,0.00991413649641498,0.00161977534420226,0.00414241698048614,0.00148687829901123,0.00909666455632935,0.00920069005175388,0.0072747975708502,0.00884602593947456
"Seq169",0.00635710337202874,0.0059115179252479,0.00112164411317751,0.00123083064435648,0.00343869399096909,0.00319758404760847,0.00343924009171307,0.00429267351565138,0.00499222907737955,0.00450613767027503,0.00285885553557431,0,0.00482195845697329,0.0042969812347022,0.00837800099094635,0.00750322224268091,0.00529585922188399,0.00264081952465249,0.00380632026201646,0.00380295080812705,0,0.000743439149505613,0.00236579920695745,0.00218516388729155,0.00740131578947368,0.0066511473229132
"Seq171",0.000794637921503593,0.000715102974828375,0.000108546204501049,0,0.000659951372004168,0.000754985122352001,0,0,0.000800640512409928,0,0.000461105731544243,0,0,0,0,0,0.000667194862599558,0.000464319916422415,0.000265557227582544,0,0.00078740157480315,0.00156122221396179,0.0001999266935457,0,0,0
"Seq180",0.00245301271420674,0,0,0,0.00302188259812435,0.00319758404760847,0.000873457801069986,0.00135050402739594,0.00122450901897989,0.000673330916247993,0.00442661502282473,0.00407844013632046,0.000649109792284866,0.00103345118302964,0.00130624746633035,0.00078254465107715,0.000500396146949669,0.000290199947764009,0.00022129768965212,0,0,0,0.00116623904568325,0.00126509488211616,0.00442813765182186,0.00405719986697705
"Seq185",0.00348949695964621,0.00195461479786423,0.000470366886171214,0.00139715910981005,0.00427231677665856,0.0050184305191633,0.00360301342941369,0.00144696860078136,0.00141289502189987,0.00191640337701352,0.001521648914096,0.0018436784177887,0.00315281899109792,0.00304596138156106,0.0066663663798928,0.00722703001288897,0.00204328426671115,0.00359847935227372,0.00354076303443392,0.00176062537413289,0.000513522766175967,0.000408891532228087,0.0017993402419113,0.00187847421889975,0.00537702429149798,0.00465580312603924
"Seq187",0,0,0,0,0.000208405696422369,0.000222054447750588,0,0,0.000423868506569962,0,0.000414995158389819,0,0,0,0.000405387144723211,0.000414288344687903,0,0,0,0.000563400119722525,0,0,0.0001332844623638,0.000230017251293847,0.000126518218623482,0
"Seq188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000619633531025936,0.000915525194549104,0.00280725778842862,0.00170991004386291,0,0,0,0
"Seq192",0,0,0.000108546204501049,0,0,0,0,0,0.000141289502189987,0.00010358937173046,0,0,0.00556379821958457,0.00571117759042698,0.00157650556281249,0.0019793776468422,0.00454526500145949,0.00101569981717403,0.00447021333097282,0,0.000102704553235193,0.000297375659802245,6.66422311819e-05,0.000345025876940771,0.000885627530364372,0.00066511473229132
